epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,117556,1.3729,0.71068,0.79031,0.85154,0.80744,0.86147,0.52891,1.18351,0.59434,0.78086,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,121364,1.37011,0.70703,0.79017,0.85194,0.80831,0.86223,0.53036,1.18226,0.59321,0.78069,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,125152,1.35749,0.69861,0.78935,0.85365,0.8078,0.8632,0.53174,1.18018,0.59122,0.78052,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,128961,1.35907,0.6975,0.78907,0.8542,0.80841,0.86414,0.53282,1.17859,0.58973,0.78034,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,132788,1.35677,0.69546,0.78777,0.85631,0.80828,0.86486,0.5341,1.1767,0.58832,0.78019,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,136614,1.35242,0.69168,0.78816,0.85652,0.80903,0.86562,0.535,1.17484,0.58636,0.78007,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,140472,1.34489,0.68455,0.78744,0.85674,0.81009,0.86646,0.5359,1.17334,0.5851,0.77995,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,144317,1.33773,0.68012,0.78688,0.8573,0.81049,0.86734,0.53736,1.17168,0.58334,0.77972,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,148129,1.3341,0.67526,0.78623,0.85704,0.81163,0.86819,0.53855,1.16979,0.58156,0.77953,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,151860,1.29403,0.65428,0.7971,0.85686,0.81229,0.86839,0.53878,1.16963,0.58112,0.77951,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,155656,1.28428,0.64715,0.79563,0.858,0.81132,0.86839,0.53889,1.16985,0.58055,0.77954,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,159524,1.2796,0.64367,0.79566,0.85843,0.81187,0.86862,0.53939,1.16978,0.57893,0.77949,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,163318,1.26838,0.63414,0.79414,0.8581,0.81313,0.86953,0.54025,1.16991,0.57777,0.77943,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,167154,1.26135,0.62767,0.7932,0.85843,0.81369,0.8702,0.54125,1.16804,0.57611,0.77921,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,171085,1.25169,0.61875,0.79191,0.85913,0.81411,0.87114,0.54284,1.16605,0.5742,0.77905,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,175042,1.24254,0.60994,0.79085,0.85863,0.81603,0.8721,0.54417,1.1643,0.57216,0.77893,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,178997,1.23291,0.60133,0.79053,0.85936,0.81648,0.87298,0.54556,1.1617,0.57019,0.77866,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,182929,1.21624,0.58853,0.78907,0.86038,0.81712,0.87409,0.54683,1.15964,0.56808,0.7783,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,186835,1.2044,0.57737,0.78818,0.86012,0.81789,0.87472,0.54779,1.15855,0.56657,0.77803,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
51,193178.72,1.26671,0.61928,0.78179,0.85737,0.81027,0.86828,0.53798,1.17655,0.58758,0.77989,0.00999711,0.00333237,0.00999711,0.00333237,0.00999711,0.00333237,0.00999711,0.00333237
52,198618.9,1.30922,0.65543,0.78522,0.85176,0.80012,0.85742,0.52272,1.20236,0.60978,0.78288,0.0190072,0.00633575,0.0190072,0.00633575,0.0190072,0.00633575,0.0190072,0.00633575
53,202649.5,1.38412,0.72259,0.79374,0.84445,0.79267,0.84803,0.51186,1.21301,0.62586,0.78462,0.0270274,0.00900913,0.0270274,0.00900913,0.0270274,0.00900913,0.0270274,0.00900913
54,206985.3,1.41615,0.75273,0.79727,0.85014,0.79579,0.85243,0.51807,1.19952,0.61125,0.78358,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
55,211201.6,1.39995,0.73892,0.79593,0.85022,0.79966,0.85549,0.52265,1.19088,0.60414,0.78274,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
56,214240.5,1.39669,0.73271,0.79408,0.84933,0.80206,0.85701,0.52439,1.18712,0.60103,0.78227,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
