epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,0.23143793378284533,0.8055953061884606,0.5571151564263596,0.5160376845849348
2,0.1383616230800848,0.6771663446604138,0.6707087662431627,0.6404211253607635
3,0.10981585288357275,0.7252232997361491,0.6847451740803983,0.6415837428282928
4,0.09135809256024939,0.7563223830715805,0.7117471710126473,0.6919478698493985
5,0.08034208950180448,0.8263838927666399,0.6955980667380546,0.6874669522444024
6,0.07239889139465469,0.7156301611836655,0.7392701067924637,0.6891485626448439
7,0.06401934807691786,0.7638554537730655,0.7584580210112002,0.7167597094146863
8,0.06060795199094149,0.7584142775586368,0.7544062744190084,0.7077178780174479
9,0.05541317633186881,0.7229636534248507,0.785720487367233,0.7280176264575182
10,0.052211357062672305,0.7949996979503015,0.7694556189042919,0.7311105138699857
11,0.04749799155126526,0.7662577533609453,0.7731021908372645,0.7255745615600095
12,0.04506202501464356,0.8305312357783624,0.7786299308308975,0.7405859663470997
13,0.042000378842812616,0.8221717440791853,0.7788614592075941,0.733585005735242
14,0.03864290126549727,0.8764607592129008,0.8320840448007409,0.7729698686162862
15,0.04000461645131745,0.8093082270353013,0.8048215784447081,0.7359981757069287
16,0.03696694983150075,0.7984303353171105,0.7998726593928168,0.7450031349404805
17,0.032453061924042015,0.885900267687899,0.7998437183457298,0.75306410236261
18,0.03281076981266057,0.89040000961613,0.8112175498509536,0.7543266592110818
19,0.030839439589369803,0.9194764579939462,0.8056898098573206,0.7534373112098932
