train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss
0.0,0.23143793378284533,0.0,0.5879946997824652,0.73016669529034,0.5160376845849348,0.5571151564263596,0.0,0.8055953061884606,0.0
0.0,0.1383616230800848,0.0,0.6636508739279782,0.7851101283145097,0.6404211253607635,0.6707087662431627,0.0,0.6771663446604138,0.0
0.0,0.10981585288357275,0.0,0.6535173442203044,0.7886923852211298,0.6415837428282928,0.6847451740803983,0.0,0.7252232997361491,0.0
0.0,0.09135809256024939,0.0,0.7050884091744607,0.8072491438403209,0.6919478698493985,0.7117471710126473,0.0,0.7563223830715805,0.0
0.0,0.08034208950180448,0.0,0.713427292086878,0.797825098999682,0.6874669522444024,0.6955980667380546,0.0,0.8263838927666399,0.0
0.0,0.07239889139465469,0.0,0.6797207410391445,0.8086289661326103,0.6891485626448439,0.7392701067924637,0.0,0.7156301611836655,0.0
0.0,0.06401934807691786,0.0,0.7135193595735517,0.8115352474978269,0.7167597094146863,0.7584580210112002,0.0,0.7638554537730655,0.0
0.0,0.06060795199094149,0.0,0.6972392682745376,0.8204977904717309,0.7077178780174479,0.7544062744190084,0.0,0.7584142775586368,0.0
0.0,0.05541317633186881,0.0,0.7028524585019852,0.8320996109555264,0.7280176264575182,0.785720487367233,0.0,0.7229636534248507,0.0
0.0,0.052211357062672305,0.0,0.7271650481837539,0.8249146920557725,0.7311105138699857,0.7694556189042919,0.0,0.7949996979503015,0.0
0.0,0.04749799155126526,0.0,0.7113144592178893,0.8226851883809072,0.7255745615600095,0.7731021908372645,0.0,0.7662577533609453,0.0
0.0,0.04506202501464356,0.0,0.7344839797968523,0.8259488422744213,0.7405859663470997,0.7786299308308975,0.0,0.8305312357783624,0.0
0.0,0.042000378842812616,0.0,0.7219363004337302,0.823926029600601,0.733585005735242,0.7788614592075941,0.0,0.8221717440791853,0.0
0.0,0.03864290126549727,0.0,0.7474690805579641,0.8316605754387322,0.7729698686162862,0.8320840448007409,0.0,0.8764607592129008,0.0
0.0,0.04000461645131745,0.0,0.7083038914033117,0.826644586219093,0.7359981757069287,0.8048215784447081,0.0,0.8093082270353013,0.0
0.0,0.03696694983150075,0.0,0.724021496089601,0.8300707686660806,0.7450031349404805,0.7998726593928168,0.0,0.7984303353171105,0.0
0.0,0.032453061924042015,0.0,0.7399454724971848,0.8279260295491059,0.75306410236261,0.7998437183457298,0.0,0.885900267687899,0.0
0.0,0.03281076981266057,0.0,0.7339262714163173,0.8273478806477367,0.7543266592110818,0.8112175498509536,0.0,0.89040000961613,0.0
0.0,0.030839439589369803,0.0,0.7343575569454529,0.8333039719556399,0.7534373112098932,0.8056898098573206,0.0,0.9194764579939462,0.0
